自用拼音	中古拼音(polyhedron 版)
büə̄i	byoi
büə̌i	byoix
büə̀i	byoih
müə̄i	myoi
müə̌i	myoix
müə̀i	myoih
küə̄i	kyoi
küə̌i	kyoix
küə̀i	kyoih
khüə̄i	khyoi
khüə̀i	khyoih
ŋüə̄i	ngyoi
ŋüə̀i	ngyoih
hüə̄i	hyoi
hüə̌i	hyoix
hüə̀i	hyoih
ȝüə̄i	qyoi
ȝüə̌i	qyoix
ȝüə̀i	qyoih
üə̄i	yoi
üə̌i	yoix
üə̀i	yoih
liə̄	lio
liə̌	liox
liə̀	lioh
ṭiə̄	trio
ṭiə̌	triox
ṭiə̀	trioh
ṭhiə̄	thrio
ṭhiə̌	thriox
ṭhiə̀	thrioh
ḍiə̄	drio
ḍiə̌	driox
ḍiə̀	drioh
ṇiə̄	nrio
ṇiə̌	nriox
ṇiə̀	nrioh
tsiə̄	cio
tsiə̌	ciox
tsiə̀	cioh
tshiə̄	chio
tshiə̌	chiox
tshiə̀	chioh
dziə̌	ziox
siə̄	sio
siə̌	siox
siə̀	sioh
ziə̄	zsio
ziə̌	zsiox
ziə̀	zsioh
tšiə̄	crio
tšiə̌	criox
tšiə̀	crioh
tšhiə̄	chrio
tšhiə̌	chriox
tšhiə̀	chrioh
džiə̄	zrio
džiə̌	zriox
džiə̀	zrioh
šiə̄	srio
šiə̌	sriox
šiə̀	srioh
tśiə̄	cjo
tśiə̌	cjox
tśiə̀	cjoh
tśhiə̌	chjox
tśhiə̀	chjoh
dźiə̄	zjo
dźiə̌	zjox
dźiə̀	zjoh
ńiə̄	njo
ńiə̌	njox
ńiə̀	njoh
śiə̄	sjo
śiə̌	sjox
śiə̀	sjoh
źiə̌	zsjox
kiə̄	kio
kiə̌	kiox
kiə̀	kioh
khiə̄	khio
khiə̌	khiox
khiə̀	khioh
giə̄	gio
giə̌	giox
giə̀	gioh
ŋiə̄	ngio
ŋiə̌	ngiox
ŋiə̀	ngioh
hiə̄	hio
hiə̌	hiox
hiə̀	hioh
ȝiə̄	qio
ȝiə̌	qiox
ȝiə̀	qioh
jiə̄	jo
jiə̌	jox
jiə̀	joh
püō	pyo
püǒ	pyox
püò	pyoh
phüō	phyo
phüǒ	phyox
phüò	phyoh
büō	byo
büǒ	byox
büò	byoh
müō	myo
müǒ	myox
müò	myoh
lüō	lyo
lüǒ	lyox
lüò	lyoh
ṭüō	tryo
ṭüǒ	tryox
ṭüò	tryoh
ṭhüō	thryo
ṭhüò	thryoh
ḍüō	dryo
ḍüǒ	dryox
ḍüò	dryoh
tsüō	cyo
tsüò	cyoh
tshüō	chyo
tshüǒ	chyox
tshüò	chyoh
dzüǒ	zyox
dzüò	zyoh
süō	syo
süǒ	syox
süò	syoh
tšüō	cryo
tšhüō	chryo
tšhüò	chryoh
džüō	zryo
džüǒ	zryox
šüō	sryo
šüǒ	sryox
šüò	sryoh
tśüō	cjyo
tśüǒ	cjyox
tśüò	cjyoh
tśhüō	chjyo
dźüō	zjyo
dźüǒ	zjyox
dźüò	zjyoh
ńüō	njyo
ńüǒ	njyox
ńüò	njyoh
śüō	sjyo
śüò	sjyoh
küō	kyo
küǒ	kyox
küò	kyoh
khüō	khyo
khüǒ	khyox
khüò	khyoh
güō	gyo
güǒ	gyox
güò	gyoh
ŋüō	ngyo
ŋüǒ	ngyox
ŋüò	ngyoh
hüō	hyo
hüǒ	hyox
hüò	hyoh
ȝüō	qyo
ȝüǒ	qyox
ȝüò	qyoh
jüō	jyo
jüǒ	jyox
jüò	jyoh
üō	yo
üǒ	yox
üò	yoh
pū	po
pǔ	pox
pù	poh
phū	pho
phǔ	phox
phù	phoh
bū	bo
bǔ	box
bù	boh
mū	mo
mǔ	mox
mù	moh
tū	to
tǔ	tox
tù	toh
thū	tho
thǔ	thox
thù	thoh
dū	do
dǔ	dox
dù	doh
nū	no
nǔ	nox
nù	noh
lū	lo
lǔ	lox
lù	loh
tsū	co
tsǔ	cox
tsù	coh
tshū	cho
tshǔ	chox
tshù	choh
dzū	zo
dzǔ	zox
dzù	zoh
sū	so
sù	soh
kū	ko
kǔ	kox
kù	koh
khū	kho
khǔ	khox
khù	khoh
ŋū	ngo
ŋǔ	ngox
ŋù	ngoh
hū	ho
hǔ	hox
hù	hoh
ĥū	gho
ĥǔ	ghox
ĥù	ghoh
ȝū	qo
ȝǔ	qox
ȝù	qoh
dźēi	zje
ńēi	nje
pēi	pe
pěi	pex
pèi	peh
phēi	phe
phěi	phex
phèi	pheh
bēi	be
běi	bex
bèi	beh
mēi	me
měi	mex
mèi	meh
tēi	te
těi	tex
tèi	teh
thēi	the
thěi	thex
thèi	theh
dēi	de
děi	dex
dèi	deh
nēi	ne
něi	nex
nèi	neh
lēi	le
lěi	lex
lèi	leh
tsēi	ce
tsěi	cex
tsèi	ceh
tshēi	che
tshěi	chex
tshèi	cheh
dzēi	ze
dzěi	zex
dzèi	zeh
sēi	se
sěi	sex
sèi	seh
kēi	ke
kèi	keh
khēi	khe
khěi	khex
khèi	kheh
ŋēi	nge
ŋěi	ngex
ŋèi	ngeh
hēi	he
hèi	heh
ĥēi	ghe
ĥěi	ghex
ĥèi	gheh
ȝēi	qe
ȝěi	qex
ȝèi	qeh
kuēi	kue
kuèi	kueh
khuēi	khue
huēi	hue
huèi	hueh
ĥuēi	ghue
ĥuèi	ghueh
ȝuēi	que
pьièi	pjed
phьièi	phjed
bьièi	bjed
mьièi	mjed
lьièi	lied
tsьièi	cied
tśьièi	cjed
tśhьièi	chjed
dźьièi	zjed
śьièi	sjed
ŋьièi	ngjed
jьièi	jed
tsьüèi	cyed
tshьüèi	chyed
sьüèi	syed
zьüèi	zsyed
tśьüèi	cjyed
dźьüèi	zjyed
ńьüèi	njyed
śьüèi	sjyed
jьüèi	jyed
ṭièi	tried
ṭhièi	thried
ḍièi	dried
šièi	sried
kièi	kied
khièi	khied
gièi	gied
ŋièi	ngied
ȝièi	qied
ṭüèi	tryed
ḍüèi	dryed
tšhüèi	chryed
šüèi	sryed
küèi	kyed
üèi	yed
pài	pad
phài	phad
bài	bad
mài	mad
tài	tad
thài	thad
dài	dad
nài	nad
lài	lad
tshài	chad
kài	kad
khài	khad
ŋài	ngad
hài	had
ĥài	ghad
ȝài	qad
tuài	tuad
thuài	thuad
duài	duad
luài	luad
tsuài	cuad
tshuài	chuad
dzuài	zuad
suài	suad
kuài	kuad
khuài	khuad
ŋuài	nguad
huài	huad
ĥuài	ghuad
ȝuài	quad
pɛ̌	prex
pɛ̀	preh
phɛ̀	phreh
bɛ̄	bre
bɛ̌	brex
bɛ̀	breh
mɛ̄	mre
mɛ̌	mrex
mɛ̀	mreh
ṭɛ̀	treh
ṭhɛ̄	thre
ḍɛ̌	drex
ṇɛ̄	nre
ṇɛ̌	nrex
tšɛ̀	creh
tšhɛ̄	chre
tšhɛ̀	chreh
džɛ̄	zre
džɛ̀	zreh
šɛ̄	sre
šɛ̌	srex
šɛ̀	sreh
kɛ̄	kre
kɛ̌	krex
kɛ̀	kreh
khɛ̌	khrex
khɛ̀	khreh
gɛ̌	grex
ŋɛ̄	ngre
ŋɛ̀	ngreh
hɛ̄	hre
hɛ̀	hreh
ĥɛ̄	ghre
ĥɛ̌	ghrex
ĥɛ̀	ghreh
ȝɛ̄	qre
ȝɛ̌	qrex
ȝɛ̀	qreh
ḍuɛ̌	druex
kuɛ̄	krue
kuɛ̌	kruex
kuɛ̀	krueh
khuɛ̄	khrue
huɛ̄	hrue
huɛ̌	hruex
huɛ̀	hrueh
ĥuɛ̄	ghrue
ĥuɛ̌	ghruex
ĥuɛ̀	ghrueh
ȝuɛ̄	qrue
pɛ̀i	praih
phɛ̀i	phraih
bɛ̄i	brai
bɛ̀i	braih
mɛ̄i	mrai
mɛ̀i	mraih
lɛ̄i	lrai
ṭɛ̄i	trai
ṭhɛ̄i	thrai
ṇɛ̄i	nrai
ṇɛ̀i	nraih
tšɛ̄i	crai
tšɛ̀i	craih
tšhɛ̄i	chrai
džɛ̄i	zrai
šɛ̄i	srai
šɛ̀i	sraih
kɛ̄i	krai
kɛ̀i	kraih
khɛ̄i	khrai
khɛ̌i	khraix
khɛ̀i	khraih
ŋɛ̄i	ngrai
ŋɛ̌i	ngraix
ŋɛ̀i	ngraih
hɛ̄i	hrai
hɛ̀i	hraih
ĥɛ̄i	ghrai
ĥɛ̌i	ghraix
ĥɛ̀i	ghraih
ȝɛ̄i	qrai
ȝɛ̌i	qraix
ȝɛ̀i	qraih
luɛ̄i	lruai
ṭuɛ̀i	truaih
ḍuɛ̄i	druai
džuɛ̄i	zruai
kuɛ̄i	kruai
kuɛ̀i	kruaih
khuɛ̄i	khruai
khuɛ̀i	khruaih
ŋuɛ̀i	ngruaih
huɛ̄i	hruai
huɛ̀i	hruaih
ĥuɛ̄i	ghruai
ĥuɛ̀i	ghruaih
ȝuɛ̄i	qruai
pæ̀i	prad
bæ̀i	brad
mæ̀i	mrad
ṭhæ̀i	thrad
ḍæ̀i	drad
džæ̀i	zrad
šæ̀i	srad
kæ̀i	krad
hæ̀i	hrad
ĥæ̀i	ghrad
ȝæ̀i	qrad
tšhuæ̀i	chruad
kuæ̀i	kruad
khuæ̀i	khruad
huæ̀i	hruad
ĥuæ̀i	ghruad
ȝuæ̀i	qruad
puōi	puai
puòi	puaih
phuōi	phuai
phuǒi	phuaix
phuòi	phuaih
buōi	buai
buǒi	buaix
buòi	buaih
muōi	muai
muǒi	muaix
muòi	muaih
tuōi	tuai
tuǒi	tuaix
tuòi	tuaih
thuōi	thuai
thuǒi	thuaix
thuòi	thuaih
duōi	duai
duǒi	duaix
duòi	duaih
nuōi	nuai
nuǒi	nuaix
nuòi	nuaih
luōi	luai
luǒi	luaix
luòi	luaih
tsuōi	cuai
tsuǒi	cuaix
tsuòi	cuaih
tshuōi	chuai
tshuǒi	chuaix
tshuòi	chuaih
dzuōi	zuai
dzuǒi	zuaix
suōi	suai
suòi	suaih
kuōi	kuai
kuòi	kuaih
khuōi	khuai
khuǒi	khuaix
khuòi	khuaih
ŋuōi	nguai
ŋuǒi	nguaix
ŋuòi	nguaih
huōi	huai
huǒi	huaix
huòi	huaih
ĥuōi	ghuai
ĥuǒi	ghuaix
ĥuòi	ghuaih
ȝuōi	quai
ȝuǒi	quaix
ȝuòi	quaih
tōi	tai
tǒi	taix
tòi	taih
thōi	thai
thǒi	thaix
thòi	thaih
dōi	dai
dǒi	daix
dòi	daih
nōi	nai
nǒi	naix
nòi	naih
lōi	lai
lǒi	laix
lòi	laih
tsōi	cai
tsǒi	caix
tsòi	caih
tshōi	chai
