自用拼音	中古拼音(polyhedron 版)
ĥāŋ	ghang
ĥǎŋ	ghangx
ĥàŋ	ghangh
ĥa̍k	ghak
ȝāŋ	qang
ȝǎŋ	qangx
ȝàŋ	qangh
ȝa̍k	qak
lua̍k	luak
tsua̍k	cuak
kuāŋ	kuang
kuǎŋ	kuangx
kuàŋ	kuangh
kua̍k	kuak
khuāŋ	khuang
khuǎŋ	khuangx
khuàŋ	khuangh
khua̍k	khuak
ŋua̍k	nguak
huāŋ	huang
huǎŋ	huangx
huàŋ	huangh
hua̍k	huak
ĥuāŋ	ghuang
ĥuǎŋ	ghuangx
ĥuàŋ	ghuangh
ĥua̍k	ghuak
ȝuāŋ	quang
ȝuǎŋ	quangx
ȝuàŋ	quangh
ȝua̍k	quak
pǣŋ	prang
pæ̌ŋ	prangx
pæ̀ŋ	prangh
pæ̍k	prak
phǣŋ	phrang
phæ̍k	phrak
bǣŋ	brang
bæ̌ŋ	brangx
bæ̀ŋ	brangh
bæ̍k	brak
mǣŋ	mrang
mæ̌ŋ	mrangx
mæ̀ŋ	mrangh
mæ̍k	mrak
læ̌ŋ	lrangx
ṭǣŋ	trang
ṭæ̌ŋ	trangx
ṭæ̀ŋ	trangh
ṭæ̍k	trak
ṭhǣŋ	thrang
ṭhæ̀ŋ	thrangh
ṭhæ̍k	thrak
ḍǣŋ	drang
ḍæ̌ŋ	drangx
ḍæ̀ŋ	drangh
ḍæ̍k	drak
ṇǣŋ	nrang
ṇæ̌ŋ	nrangx
ṇæ̍k	nrak
tšæ̍k	crak
tšhǣŋ	chrang
džǣŋ	zrang
džæ̍k	zrak
šǣŋ	srang
kǣŋ	krang
kæ̌ŋ	krangx
kæ̀ŋ	krangh
kæ̍k	krak
khǣŋ	khrang
khæ̍k	khrak
ŋæ̍k	ngrak
hǣŋ	hrang
hæ̀ŋ	hrangh
hæ̍k	hrak
ĥǣŋ	ghrang
ĥæ̌ŋ	ghrangx
ĥæ̀ŋ	ghrangh
ĥæ̍k	ghrak
ȝæ̀ŋ	qrangh
ȝæ̍k	qrak
kuǣŋ	kruang
kuæ̌ŋ	kruangx
kuæ̍k	kruak
khuæ̌ŋ	khruangx
khuæ̍k	khruak
huǣŋ	hruang
huæ̍k	hruak
ĥuǣŋ	ghruang
ĥuæ̌ŋ	ghruangx
ĥuæ̀ŋ	ghruangh
ĥuæ̍k	ghruak
ȝuæ̌ŋ	qruangx
ȝuæ̀ŋ	qruangh
ȝuæ̍k	qruak
piǣŋ	pieng
piæ̌ŋ	piengx
piæ̀ŋ	piengh
biǣŋ	bieng
biæ̀ŋ	biengh
biæ̍k	biek
miǣŋ	mieng
miæ̌ŋ	miengx
miæ̀ŋ	miengh
tšhiæ̀ŋ	chriengh
tšhiæ̍k	chriek
šiæ̌ŋ	sriengx
šiæ̀ŋ	sriengh
šiæ̍k	sriek
kiǣŋ	kieng
kiæ̌ŋ	kiengx
kiæ̀ŋ	kiengh
kiæ̍k	kiek
khiǣŋ	khieng
khiæ̀ŋ	khiengh
khiæ̍k	khiek
giǣŋ	gieng
giæ̀ŋ	giengh
giæ̍k	giek
ŋiǣŋ	ngieng
ŋiæ̀ŋ	ngiengh
ŋiæ̍k	ngiek
hiæ̍k	hiek
ȝiǣŋ	qieng
ȝiæ̌ŋ	qiengx
ȝiæ̀ŋ	qiengh
küæ̌ŋ	kyengx
hüǣŋ	hyeng
hüæ̌ŋ	hyengx
üǣŋ	yeng
üæ̌ŋ	yengx
üæ̀ŋ	yengh
pɛ̄ŋ	preng
pɛ̀ŋ	prengh
pɛ̍k	prek
phɛ̄ŋ	phreng
phɛ̌ŋ	phrengx
phɛ̍k	phrek
bɛ̄ŋ	breng
bɛ̌ŋ	brengx
bɛ̀ŋ	brengh
bɛ̍k	brek
mɛ̄ŋ	mreng
mɛ̌ŋ	mrengx
mɛ̍k	mrek
lɛ̍k	lrek
ṭɛ̄ŋ	treng
ṭɛ̍k	trek
ḍɛ̄ŋ	dreng
ṇɛ̄ŋ	nreng
ṇɛ̍k	nrek
tšɛ̄ŋ	creng
tšɛ̀ŋ	crengh
tšɛ̍k	crek
tšhɛ̄ŋ	chreng
tšhɛ̍k	chrek
džɛ̄ŋ	zreng
džɛ̍k	zrek
šɛ̍k	srek
kɛ̄ŋ	kreng
kɛ̌ŋ	krengx
kɛ̍k	krek
khɛ̄ŋ	khreng
khɛ̍k	khrek
ŋɛ̄ŋ	ngreng
ŋɛ̀ŋ	ngrengh
ŋɛ̍k	ngrek
ĥɛ̄ŋ	ghreng
ĥɛ̌ŋ	ghrengx
ĥɛ̍k	ghrek
ȝɛ̄ŋ	qreng
ȝɛ̀ŋ	qrengh
ȝɛ̍k	qrek
tšuɛ̍k	cruek
džuɛ̍k	zruek
šuɛ̍k	sruek
kuɛ̍k	kruek
guɛ̍k	gruek
huɛ̄ŋ	hrueng
huɛ̀ŋ	hruengh
huɛ̍k	hruek
ĥuɛ̄ŋ	ghrueng
ĥuɛ̍k	ghruek
ȝuɛ̄ŋ	qrueng
pьiēŋ	pjeng
pьiěŋ	pjengx
pьièŋ	pjengh
pьie̍k	pjek
phьièŋ	phjengh
phьie̍k	phjek
bьièŋ	bjengh
bьie̍k	bjek
mьiēŋ	mjeng
mьiěŋ	mjengx
mьièŋ	mjengh
lьiēŋ	lieng
lьiěŋ	liengx
lьièŋ	liengh
tsьiēŋ	cieng
tsьiěŋ	ciengx
tsьièŋ	ciengh
tsьie̍k	ciek
tshьiēŋ	chieng
tshьiěŋ	chiengx
tshьièŋ	chiengh
tshьie̍k	chiek
dzьiēŋ	zieng
dzьiěŋ	ziengx
dzьièŋ	ziengh
dzьie̍k	ziek
sьiěŋ	siengx
sьièŋ	siengh
sьie̍k	siek
zьiēŋ	zsieng
zьie̍k	zsiek
tśьiēŋ	cjeng
tśьiěŋ	cjengx
tśьièŋ	cjengh
tśьie̍k	cjek
tśhьie̍k	chjek
dźьiēŋ	zjeng
dźьièŋ	zjengh
dźьie̍k	zjek
śьiēŋ	sjeng
śьièŋ	sjengh
śьie̍k	sjek
źьie̍k	zsjek
kьiěŋ	kjengx
kьièŋ	kjengh
khьiēŋ	khjeng
khьièŋ	khjengh
gьiēŋ	gjeng
gьiěŋ	gjengx
hьièŋ	hjengh
ȝьiēŋ	qjeng
ȝьiěŋ	qjengx
ȝьie̍k	qjek
jьiēŋ	jeng
jьiěŋ	jengx
jьie̍k	jek
tshьüe̍k	chyek
sьüēŋ	syeng
tśьüe̍k	cjyek
khьüēŋ	khjyeng
khьüěŋ	khjyengx
gьüēŋ	gjyeng
hьüēŋ	hjyeng
hьüèŋ	hjyengh
hьüe̍k	hjyek
ȝьüēŋ	qjyeng
jьüēŋ	jyeng
jьüěŋ	jyengx
jьüe̍k	jyek
pie̍k	piek
ṭiēŋ	trieng
ṭie̍k	triek
ṭhiēŋ	thrieng
ṭhiěŋ	thriengx
ṭhièŋ	thriengh
ṭhie̍k	thriek
ḍiēŋ	drieng
ḍiěŋ	driengx
ḍièŋ	driengh
ḍie̍k	driek
pěŋ	pengx
pe̍k	pek
phēŋ	pheng
phěŋ	phengx
phe̍k	phek
bēŋ	beng
běŋ	bengx
be̍k	bek
mēŋ	meng
měŋ	mengx
mèŋ	mengh
me̍k	mek
tēŋ	teng
těŋ	tengx
tèŋ	tengh
te̍k	tek
thēŋ	theng
thěŋ	thengx
thèŋ	thengh
the̍k	thek
dēŋ	deng
děŋ	dengx
dèŋ	dengh
de̍k	dek
nēŋ	neng
něŋ	nengx
nèŋ	nengh
ne̍k	nek
lēŋ	leng
lěŋ	lengx
lèŋ	lengh
le̍k	lek
tse̍k	cek
tshēŋ	cheng
tshèŋ	chengh
tshe̍k	chek
dzěŋ	zengx
dze̍k	zek
sēŋ	seng
sěŋ	sengx
sèŋ	sengh
se̍k	sek
kēŋ	keng
kěŋ	kengx
kèŋ	kengh
ke̍k	kek
khěŋ	khengx
khèŋ	khengh
khe̍k	khek
ŋěŋ	ngengx
ŋe̍k	ngek
hēŋ	heng
he̍k	hek
ĥēŋ	gheng
ĥěŋ	ghengx
ĥèŋ	ghengh
ĥe̍k	ghek
ȝěŋ	qengx
ȝèŋ	qengh
kuēŋ	kueng
kuěŋ	kuengx
kue̍k	kuek
khuěŋ	khuengx
khue̍k	khuek
huěŋ	huengx
hue̍k	huek
ĥuēŋ	ghueng
ĥuěŋ	ghuengx
ȝuěŋ	quengx
pīŋ	ping
pi̍k	pik
phīŋ	phing
phi̍k	phik
bīŋ	bing
bìŋ	bingh
bi̍k	bik
mi̍k	mik
līŋ	ling
lìŋ	lingh
li̍k	lik
ṭīŋ	tring
ṭi̍k	trik
ṭhīŋ	thring
ṭhǐŋ	thringx
ṭhìŋ	thringh
ṭhi̍k	thrik
ḍīŋ	dring
ḍìŋ	dringh
ḍi̍k	drik
ṇi̍k	nrik
tsìŋ	cingh
tsi̍k	cik
dzīŋ	zing
dzi̍k	zik
si̍k	sik
tši̍k	crik
tšhi̍k	chrik
džīŋ	zring
dži̍k	zrik
šīŋ	sring
šǐŋ	sringx
ši̍k	srik
tśīŋ	cjing
tśǐŋ	cjingx
tśìŋ	cjingh
tśi̍k	cjik
tśhīŋ	chjing
tśhìŋ	chjingh
tśhi̍k	chjik
dźīŋ	zjing
dźìŋ	zjingh
dźi̍k	zjik
ńīŋ	njing
ńìŋ	njingh
śīŋ	sjing
śìŋ	sjingh
śi̍k	sjik
źīŋ	zsjing
źìŋ	zsjingh
źi̍k	zsjik
kīŋ	king
ki̍k	kik
khīŋ	khing
khi̍k	khik
gīŋ	ging
gǐŋ	gingx
gìŋ	gingh
gi̍k	gik
ŋīŋ	nging
ŋìŋ	ngingh
ŋi̍k	ngik
hīŋ	hing
hìŋ	hingh
hi̍k	hik
ȝīŋ	qing
ȝìŋ	qingh
ȝi̍k	qik
jīŋ	jing
jìŋ	jingh
ji̍k	jik
hüi̍k	hyk
üi̍k	yk
pə̄ŋ	pong
pə̀ŋ	pongh
pə̍k	pok
phə̄ŋ	phong
phə̌ŋ	phongx
phə̍k	phok
bə̄ŋ	bong
bə̀ŋ	bongh
bə̍k	bok
mə̄ŋ	mong
mə̀ŋ	mongh
mə̍k	mok
tə̄ŋ	tong
tə̌ŋ	tongx
tə̀ŋ	tongh
tə̍k	tok
thə̄ŋ	thong
thə̀ŋ	thongh
thə̍k	thok
də̄ŋ	dong
də̀ŋ	dongh
də̍k	dok
nə̄ŋ	nong
nə̌ŋ	nongx
nə̍k	nok
lə̄ŋ	long
lə̀ŋ	longh
lə̍k	lok
tsə̄ŋ	cong
tsə̀ŋ	congh
tsə̍k	cok
tshə̀ŋ	chongh
tshə̍k	chok
dzə̄ŋ	zong
dzə̀ŋ	zongh
dzə̍k	zok
sə̄ŋ	song
sə̀ŋ	songh
sə̍k	sok
kə̄ŋ	kong
kə̀ŋ	kongh
kə̍k	kok
khə̌ŋ	khongx
khə̍k	khok
hə̍k	hok
ĥə̄ŋ	ghong
ĥə̍k	ghok
ȝə̍k	qok
kuə̄ŋ	kuong
kuə̍k	kuok
huə̄ŋ	huong
huə̍k	huok
ĥuə̄ŋ	ghuong
ĥuə̍k	ghuok
liə̄u	liu
liə̌u	liux
liə̀u	liuh
ṭiə̄u	triu
ṭiə̌u	triux
ṭiə̀u	triuh
ṭhiə̄u	thriu
ṭhiə̌u	thriux
ṭhiə̀u	thriuh
ḍiə̄u	driu
ḍiə̌u	driux
ḍiə̀u	driuh
ṇiə̌u	nriux
ṇiə̀u	nriuh
tsiə̄u	ciu
tsiə̌u	ciux
tsiə̀u	ciuh
tshiə̄u	chiu
tshiə̀u	chiuh
dziə̄u	ziu
dziə̌u	ziux
dziə̀u	ziuh
siə̄u	siu
siə̌u	siux
siə̀u	siuh
ziə̄u	zsiu
ziə̀u	zsiuh
tšiə̄u	criu
tšiə̌u	criux
tšiə̀u	criuh
tšhiə̄u	chriu
tšhiə̌u	chriux
tšhiə̀u	chriuh
džiə̄u	zriu
džiə̌u	zriux
džiə̀u	zriuh
šiə̄u	sriu
šiə̌u	sriux
šiə̀u	sriuh
tśiə̄u	cju
tśiə̌u	cjux
tśiə̀u	cjuh
tśhiə̄u	chju
tśhiə̌u	chjux
tśhiə̀u	chjuh
dźiə̄u	zju
dźiə̌u	zjux
dźiə̀u	zjuh
ńiə̄u	nju
ńiə̌u	njux
ńiə̀u	njuh
śiə̄u	sju
śiə̌u	sjux
śiə̀u	sjuh
kiə̄u	kiu
kiə̌u	kiux
kiə̀u	kiuh
khiə̄u	khiu
khiə̌u	khiux
khiə̀u	khiuh
giə̄u	giu
giə̌u	giux
giə̀u	giuh
ŋiə̄u	ngiu
ŋiə̀u	ngiuh
hiə̄u	hiu
hiə̌u	hiux
hiə̀u	hiuh
ȝiə̄u	qiu
ȝiə̌u	qiux
jiə̄u	ju
jiə̌u	jux
jiə̀u	juh
iə̄u	iu
iə̌u	iux
iə̀u	iuh
püə̄u	piu
püə̌u	piux
püə̀u	piuh
phüə̄u	phiu
phüə̌u	phiux
phüə̀u	phiuh
büə̄u	biu
büə̌u	biux
büə̀u	biuh
müə̄u	miu
müə̀u	miuh
pə̌u	pux
phə̌u	phux
phə̀u	phuh
bə̄u	bu
bə̌u	bux
bə̀u	buh
mə̄u	mu
mə̌u	mux
mə̀u	muh
tə̄u	tu
tə̌u	tux
tə̀u	tuh
thə̄u	thu
thə̌u	thux
thə̀u	thuh
də̄u	du
də̌u	dux
də̀u	duh
nə̄u	nu
nə̌u	nux
nə̀u	nuh
lə̄u	lu
lə̌u	lux
lə̀u	luh
tsə̄u	cu
tsə̌u	cux
tsə̀u	cuh
tshə̄u	chu
tshə̌u	chux
tshə̀u	chuh
dzə̄u	zu
dzə̌u	zux
dzə̀u	zuh
sə̄u	su
sə̌u	sux
sə̀u	suh
kə̄u	ku
kə̌u	kux
kə̀u	kuh
khə̄u	khu
khə̌u	khux
khə̀u	khuh
ŋə̄u	ngu
ŋə̌u	ngux
ŋə̀u	nguh
hə̄u	hu
hə̌u	hux
hə̀u	huh
ĥə̄u	ghu
ĥə̌u	ghux
ĥə̀u	ghuh
ȝə̄u	qu
ȝə̌u	qux
ȝə̀u	quh
piū	py
biū	by
miū	my
miù	myh
liū	ly
tsiū	cy
šiū	sry
kiū	ky
kiǔ	kyx
khiù	khyh
giū	gy
giǔ	gyx
giù	gyh
ŋiū	ngy
hiū	hy
ȝiū	qy
ȝiǔ	qyx
ȝiù	qyh
lьīm	lim
lьǐm	limx
lьìm	limh
lьi̍p	lip
tsьīm	cim
tsьǐm	cimx
tsьìm	cimh
tsьi̍p	cip
tshьīm	chim
tshьǐm	chimx
tshьìm	chimh
tshьi̍p	chip
dzьīm	zim
dzьǐm	zimx
dzьi̍p	zip
sьīm	sim
sьǐm	simx
sьi̍p	sip
zьīm	zsim
zьi̍p	zsip
tśьīm	cjim
tśьǐm	cjimx
tśьìm	cjimh
tśьi̍p	cjip
tśhьīm	chjim
tśhьǐm	chjimx
tśhьi̍p	chjip
dźьīm	zjim
dźьǐm	zjimx
dźьìm	zjimh
dźьi̍p	zjip
ńьīm	njim
ńьǐm	njimx
ńьìm	njimh
ńьi̍p	njip
śьīm	sjim
śьǐm	sjimx
śьìm	sjimh
śьi̍p	sjip
źьǐm	zsjimx
ȝьīm	qjim
ȝьi̍p	qjip
jьīm	jim
jьǐm	jimx
jьi̍p	jip
pǐm	pimx
pi̍p	pip
phǐm	phimx
bi̍p	bip
ṭīm	trim
ṭǐm	trimx
ṭìm	trimh
ṭi̍p	trip
ṭhīm	thrim
ṭhǐm	thrimx
ṭhìm	thrimh
ṭhi̍p	thrip
ḍīm	drim
ḍǐm	drimx
ḍìm	drimh
ḍi̍p	drip
ṇīm	nrim
ṇǐm	nrimx
ṇìm	nrimh
ṇi̍p	nrip
tšīm	crim
tšìm	crimh
tši̍p	crip
tšhīm	chrim
tšhǐm	chrimx
tšhìm	chrimh
tšhi̍p	chrip
džīm	zrim
džǐm	zrimx
dži̍p	zrip
šīm	srim
šǐm	srimx
šìm	srimh
ši̍p	srip
kīm	kim
kǐm	kimx
kìm	kimh
ki̍p	kip
khīm	khim
khǐm	khimx
khi̍p	khip
gīm	gim
gǐm	gimx
gìm	gimh
gi̍p	gip
ŋīm	ngim
ŋǐm	ngimx
ŋìm	ngimh
ŋi̍p	ngip
hīm	him
hǐm	himx
hi̍p	hip
ȝīm	qim
ȝǐm	qimx
ȝìm	qimh
ȝi̍p	qip
ìm	imh
i̍p	ip
tōm	tom
tǒm	tomx
tòm	tomh
to̍p	top
thōm	thom
thǒm	thomx
thòm	thomh
tho̍p	thop
dōm	dom
dǒm	domx
dòm	domh
do̍p	dop
nōm	nom
nǒm	nomx
nòm	nomh
no̍p	nop
lōm	lom
lǒm	lomx
lòm	lomh
lo̍p	lop
tsōm	com
tsǒm	comx
tsòm	comh
tso̍p	cop
tshōm	chom
tshǒm	chomx
tshòm	chomh
tsho̍p	chop
dzōm	zom
dzǒm	zomx
dzo̍p	zop
sōm	som
sǒm	somx
sòm	somh
so̍p	sop
kōm	kom
kǒm	komx
kòm	komh
ko̍p	kop
khōm	khom
khǒm	khomx
khòm	khomh
kho̍p	khop
ŋōm	ngom
ŋǒm	ngomx
ŋòm	ngomh
ŋo̍p	ngop
hōm	hom
hǒm	homx
hòm	homh
ho̍p	hop
ĥōm	ghom
ĥǒm	ghomx
ĥòm	ghomh
ĥo̍p	ghop
ȝōm	qom
ȝǒm	qomx
ȝòm	qomh
ȝo̍p	qop
mām	mam
mǎm	mamx
tām	tam
tǎm	tamx
tàm	tamh
ta̍p	tap
thām	tham
thǎm	thamx
thàm	thamh
tha̍p	thap
dām	dam
dǎm	damx
dàm	damh
da̍p	dap
na̍p	nap
lām	lam
lǎm	lamx
làm	lamh
la̍p	lap
tsām	cam
tsǎm	camx
tshǎm	chamx
tsha̍p	chap
dzām	zam
dzǎm	zamx
dzàm	zamh
dza̍p	zap
sām	sam
sàm	samh
sa̍p	sap
kām	kam
kǎm	kamx
kàm	kamh
ka̍p	kap
khām	kham
khǎm	khamx
khàm	khamh
kha̍p	khap
ŋa̍p	ngap
hām	ham
hǎm	hamx
hàm	hamh
ha̍p	hap
ĥām	gham
ĥàm	ghamh
ĥa̍p	ghap
ȝǎm	qamx
ȝa̍p	qap
tśia̍p	cjap
śiǎm	sjamx
lьiēm	liem
lьiěm	liemx
lьièm	liemh
lьie̍p	liep
tsьiēm	ciem
tsьiěm	ciemx
tsьièm	ciemh
tsьie̍p	ciep
tshьiēm	chiem
tshьiěm	chiemx
tshьièm	chiemh
tshьie̍p	chiep
dzьiēm	ziem
dzьiěm	ziemx
dzьièm	ziemh
dzьie̍p	ziep
sьiēm	siem
zьiēm	zsiem
tśьiēm	cjem
tśьiěm	cjemx
tśьièm	cjemh
tśьie̍p	cjep
tśhьiēm	chjem
tśhьièm	chjemh
tśhьie̍p	chjep
dźьiēm	zjem
dźьiěm	zjemx
dźьièm	zjemh
dźьie̍p	zjep
ńьiēm	njem
ńьiěm	njemx
ńьièm	njemh
ńьie̍p	njep
śьiēm	sjem
śьiěm	sjemx
śьièm	sjemh
śьie̍p	sjep
khьiěm	khjemx
khьie̍p	khjep
gьiēm	gjem
ȝьiēm	qjem
ȝьiěm	qjemx
ȝьièm	qjemh
ȝьie̍p	qjep
jьiēm	jem
jьiěm	jemx
jьièm	jemh
jьie̍p	jep
piēm	piem
piěm	piemx
pièm	piemh
ṭiēm	triem
ṭie̍p	triep
ṭhiēm	thriem
ṭhiěm	thriemx
ṭhièm	thriemh
ṭhie̍p	thriep
ḍiēm	driem
ḍie̍p	driep
ṇiēm	nriem
ṇie̍p	nriep
šiēm	sriem
šie̍p	sriep
kiěm	kiemx
kie̍p	kiep
khiēm	khiem
khiěm	khiemx
giēm	giem
giěm	giemx
gie̍p	giep
ŋiēm	ngiem
ŋiěm	ngiemx
ŋièm	ngiemh
hiěm	hiemx
ȝiēm	qiem
ȝiěm	qiemx
ȝièm	qiemh
ȝie̍p	qiep
iēm	iem
ie̍p	iep
měm	memx
tēm	tem
těm	temx
tèm	temh
te̍p	tep
thēm	them
thěm	themx
thèm	themh
the̍p	thep
dēm	dem
děm	demx
dèm	demh
de̍p	dep
nēm	nem
něm	nemx
nèm	nemh
ne̍p	nep
lēm	lem
lěm	lemx
lèm	lemh
le̍p	lep
tsèm	cemh
tse̍p	cep
tshěm	chemx
dzèm	zemh
dze̍p	zep
sèm	semh
se̍p	sep
kēm	kem
kěm	kemx
kèm	kemh
ke̍p	kep
khēm	khem
khěm	khemx
khèm	khemh
khe̍p	khep
hēm	hem
he̍p	hep
ĥēm	ghem
ĥěm	ghemx
ĥe̍p	ghep
ȝèm	qemh
lɛ̌m	lremx
ṭɛ̄m	trem
ṭɛ̀m	tremh
ṭɛ̍p	trep
ṭhɛ̌m	thremx
ṭhɛ̍p	threp
ḍɛ̌m	dremx
ḍɛ̀m	dremh
ṇɛ̄m	nrem
ṇɛ̌m	nremx
ṇɛ̀m	nremh
ṇɛ̍p	nrep
tšɛ̌m	cremx
tšɛ̀m	cremh
tšɛ̍p	crep
tšhɛ̌m	chremx
tšhɛ̍p	chrep
džɛ̄m	zrem
džɛ̌m	zremx
džɛ̀m	zremh
džɛ̍p	zrep
šɛ̄m	srem
šɛ̌m	sremx
šɛ̍p	srep
kɛ̄m	krem
kɛ̌m	kremx
kɛ̀m	kremh
kɛ̍p	krep
khɛ̄m	khrem
khɛ̌m	khremx
khɛ̀m	khremh
khɛ̍p	khrep
ŋɛ̄m	ngrem
ŋɛ̀m	ngremh
ŋɛ̍p	ngrep
hɛ̄m	hrem
hɛ̌m	hremx
hɛ̍p	hrep
ĥɛ̄m	ghrem
ĥɛ̌m	ghremx
ĥɛ̀m	ghremh
ĥɛ̍p	ghrep
ȝɛ̄m	qrem
ȝɛ̌m	qremx
ȝɛ̀m	qremh
ȝɛ̍p	qrep
bǣm	bram
bæ̀m	bramh
ḍæ̍p	drap
tšæ̀m	cramh
tšhǣm	chram
tšhæ̌m	chramx
tšhæ̀m	chramh
džǣm	zram
džæ̌m	zramx
džæ̀m	zramh
šǣm	sram
šæ̌m	sramx
šæ̀m	sramh
šæ̍p	srap
kǣm	kram
kæ̀m	kramh
kæ̍p	krap
khǣm	khram
khæ̌m	khramx
ŋǣm	ngram
hæ̌m	hramx
hæ̀m	hramh
hæ̍p	hrap
ĥǣm	ghram
ĥæ̌m	ghramx
ĥæ̀m	ghramh
ĥæ̍p	ghrap
ȝæ̌m	qramx
ȝæ̀m	qramh
ȝæ̍p	qrap
ṭhiæ̌m	thriamx
ṭhiæ̍p	thriap
ṇiæ̍p	nriap
kiæ̀m	kiamh
kiæ̍p	kiap
khiǣm	khiam
khiæ̌m	khiamx
khiæ̀m	khiamh
khiæ̍p	khiap
giæ̍p	giap
ŋiǣm	ngiam
ŋiæ̌m	ngiamx
ŋiæ̀m	ngiamh
ŋiæ̍p	ngiap
hiǣm	hiam
hiæ̀m	hiamh
hiæ̍p	hiap
ȝiǣm	qiam
ȝiæ̌m	qiamx
ȝiæ̀m	qiamh
ȝiæ̍p	qiap
jiæ̍p	jap
püǒm	pyamx
püo̍p	pyap
phüōm	phyam
phüǒm	phyamx
phüòm	phyamh
phüo̍p	phyap
büōm	byam
büǒm	byamx
büòm	byamh
büo̍p	byap
müǒm	myamx
müòm	myamh
